Feature,Coefficient,Intercept,R^2
RIAGENDR,1.1000477926506806,2.3794449435239624,0.009357900397667485
RIDAGEYR,-0.014408242645548838,4.901602343526954,0.0018861050247718225
RIDRETH3,-0.1573503691566095,4.600170180872628,0.0016368665235921842
DMDBORN4,-0.10813314621280608,4.192872423667022,0.0005122573359356286
DMDYRUSZ,0.012333608845810945,3.975568100691591,0.00033813597434795284
DMDEDUC2,-0.4809097638779965,5.714986749470237,0.010543485991143964
DMDMARTZ,0.06999128517170417,3.9412049351587055,0.0011717070235657268
INDFMPIR,-0.5554012717833213,5.445551670364186,0.02081411040980774
BMXWT,0.016259760590067743,2.656024810037553,0.004275260761137378
BMXHT,-0.035275410928255015,9.916810574870716,0.0036108071104198336
BMXBMI,0.07425396147529319,1.7449220946397221,0.009575741198794452
DBQ229,-0.1932620176323104,4.479898068994186,0.0008400507853923989
DBQ235A,0.08031328727221813,3.8377579599859115,0.0001455753238517321
DBQ235B,-0.015117853370690638,4.0958544359546725,5.397652176108991e-06
DBQ235C,-0.04606423838491785,4.158359822762062,4.8901596021444504e-05
DBQ700,1.2103105938450494,0.34495137099296835,0.05076960488614812
DBQ301,-2.1829973176088693,8.272000681744707,0.0053898192636645526
DBQ330,0.3549366582471652,3.3717872539961666,0.0002173361873177848
DBQ197,-0.08961210977979601,4.20823869885474,0.0003151859125478662
DBQ223A,-0.010060737108999783,4.16589746318107,4.8792457350232965e-05
DBD895,-5.0310866392803506e-05,4.059202503850442,8.756699043099836e-06
DBD900,-0.00023475131126290727,4.059979392157608,5.5952057674502065e-05
DBD905,-0.00013625667969372507,4.061696700300531,0.00012665595146366115
DBD910,0.00030053182904622635,4.051356991265968,0.0005535397414295762
DBQ940,-0.09851546737245037,4.196553774701508,7.271035078926236e-05
DBQ945,-0.055391450472756516,4.140099163553883,2.383808079897687e-05
FSDHH,1.3387030303405796,1.73030715971792,0.05752632410115688
FSDAD,1.3303257083987365,1.7499787669220184,0.05731493096677209
FSD151,-1.5515217709054234,6.936936663520729,0.014351229591528902
FSQ165,-0.8281160330829004,5.384956793732314,0.011996950317797683
FSQ012,-0.6344425189111906,4.967139552134603,0.0019305040020274333
FSD230,-0.5788017812717323,4.708302510824061,0.0007370558599335553
FSD162,0.11323543581399578,3.836130223272634,6.190782112747151e-05
FSQ760,0.3716673565970387,3.6045784816324296,6.505412289536938e-05
FSD652ZW,-0.5067657214434634,4.9302363370388935,0.00019394555575491523
FSD672ZW,0.03717716002394757,3.8889608393918973,3.0481945559435175e-05
FSD652CW,-0.5345120569671459,5.055536532011542,0.0002197351475663467
FSD660ZW,1.0318401937046002,2.2234512686007957,8.209798829439396e-05
DBQ360,-0.1615426364013581,4.335076955960636,3.4864873087459003e-06
DBQ370,-3.120253164556964,7.198316240925874,1.1409987493382623e-05
DBD381,-0.3250406900401791,5.027389254078447,0.00010029658643406769
DBQ390,-1.4512623841482892,6.436896638872588,0.00021589395433985192
DBQ400,-0.3864708966963818,4.488661161593455,1.2676050182958143e-05
DBD411,-0.5122942884801531,5.089950315380136,0.00021603453140295326
DBQ421,-1.2952158693115432,5.818603998360629,8.6951297179505e-05
DBQ424,1.1702412868632708,1.3578820267912408,9.268124278938306e-05
HIQ011,-0.29221982439017025,4.37874625745577,0.0003983023590586887
HIQ032A,0.009160955796070723,4.037335374254075,0.0001496815851358413
HIQ260,-0.14510376109910095,4.304059936417309,5.860585148054209e-05
HIQ105,0.17280396028080203,3.8787876301820208,1.2987491264437878e-05
HIQ270,-0.2768838974000174,4.374542691962601,0.0014109778717730226
HIQ210,-0.5334773494244309,5.102300913321139,0.0009981523039804818
INDFMMPI,-0.5164698175806044,5.259466985340303,0.015016324312365992
INDFMMPC,-0.2634086699000834,4.700077029069863,0.004648632818675558
MCQ010,-1.4391287658350818,6.651289141015976,0.013770080115588335
MCQ025,1.063415543168681e-05,4.036469595535931,0.00014363014921137118
MCQ035,-0.40013883456379445,4.637817340397364,0.0013737013141470467
MCQ040,-0.5201458627550181,4.870006025000609,0.0007216633082758328
MCQ050,-0.7538833417674788,5.404702463954999,0.00042029398221810066
AGQ030,-0.06664401496846994,4.175324021798724,2.3713877288944474e-05
MCQ053,0.11933892325318901,3.8277604836595995,0.0001085169616414916
MCQ080,-1.22020142160975,5.912424972828745,0.013396632215743498
MCQ160A,-0.8796474696963573,5.407566459964292,0.011059566618604078
MCQ195,-0.026219829327764555,4.146880002926732,0.00010433885165483936
MCQ160F,-0.39133252332316715,4.80587089039983,0.0010585992175744519
MCD180F,0.00016949930366170454,3.7567879198719614,0.01596475030685529
MCQ160M,-0.15883872035826047,4.349242148883227,0.0002454481363568517
MCQ170M,0.40017017271483607,3.494507469908772,0.001740237771443942
MCD180M,1.2954973824581958e-05,4.02976313261069,0.00020699520252243087
MCQ520,-2.0865366970435426,7.647029106945881,0.038158353215030916
MCQ530,-0.33940634192777736,4.745405976771685,0.0006080566289984324
MCQ540,0.008080163089798724,4.048333246239887,1.1698066493259773e-07
MCQ550,0.06437463651839426,3.9380308182304358,4.292939097494397e-05
MCQ560,-1.412301243777889,6.639868355211849,0.00994973503710217
MCQ570,5.0242497685440126e-05,3.956814414802841,0.0025947196143739637
MCQ220,0.49220270021658874,3.1540025206942435,0.0016249716693544913
MCQ230A,0.0009946995095690768,4.0311696556032,1.0558653610326374e-06
MCQ230B,-0.07310585406495729,6.039355398637953,0.00030198223747346375
MCQ230C,0.058185940338835035,2.397230245955817,2.5712676835487613e-05
MCQ366A,-1.2596810397484637,6.102588752384489,0.0125626085926831
MCQ366B,-1.5317716885555699,6.262941407368748,0.020559901787661428
MCQ366C,-1.193716868947515,5.9272835936193635,0.012553914539685573
MCQ366D,-1.2445823455612521,6.005024119501451,0.015599773068305622
MCQ371A,-0.3718524945784461,4.551343808923173,0.0010969612590054911
MCQ371B,0.15997562784285624,3.8312820882316525,0.0002085811208353272
MCQ371C,-0.30067300240631223,4.467304282387048,0.0007773085490789811
MCQ371D,-0.12570912375346555,4.230486506924822,0.00016183102128253246
OSQ230,-0.045679626621715146,4.135069094287774,4.20103865925725e-05
OCD150,0.5968221176998596,2.3449664230441276,0.022642184824762768
OCQ180,-2.4994160580846192e-05,4.062945535156322,9.419815159461553e-05
OCQ210,-0.09188758916391794,4.210918759537639,9.781255855934035e-06
OCQ670,0.04837392245439875,3.9179514382752227,8.305841809463921e-05
OCD383,0.1548247454892697,3.5105575335870247,0.006343993906831269
OHQ030,0.022996607056089958,3.9832419223589275,0.0006686776774067482
OHQ033,0.38410178055553984,3.2220688650039424,0.007458532182449518
OHQ770,-2.431300344895558,8.37653687478279,0.0384872513067015
OHQ780A,-0.029527927244141775,4.355618779625987,2.441734955205277e-05
OHQ620,-1.265668955247215,9.075921584875939,0.05523987030916078
OHQ640,-1.4166580479767303,10.735683969359938,0.03399414508898435
OHQ835,-0.37858561429558946,4.764302005905141,0.002957018531447142
RXDUSE,-1.6722124619472587,5.991519246152027,0.013220759302616902
RXQSEEN,0.6891600482757788,3.252667538843151,0.0029827621156027773
RXDDAYS,2.8594808044609474e-06,4.0456535492652925,4.610149220651838e-05
RXDCOUNT,0.3656946123711798,1.728812302109568,0.05129206302588185
RHQ074,-0.22339272620721462,4.482605781515507,5.2474631212828804e-05
RHQ076,-0.19878056758951135,4.441197924829147,3.904906739415903e-05
RHQ131,-0.8506606005253967,5.006402556310083,0.0013722219061380603
RHD143,0.035935231845916016,3.9854340327269853,1.5371573499622926e-06
RHQ160,0.17871651578137981,3.420579856880805,0.0028981403806206396
RHD167,0.01760471935584695,4.0109216035462865,2.991064756485695e-05
RHQ171,0.05705315661957348,3.905415939281386,0.00012307459961691247
RHQ197,0.060105492741220935,3.358728002993827,6.208038248656234e-05
RHQ200,1.237657864523536,1.8710504640098362,9.287981494088271e-05
WHD010,6.293340882325993e-05,4.045081801097189,0.00017472658260164753
WHD020,0.00013057291037952035,4.015263771190578,0.0007229139939674001
WHQ030,-0.7385918712108752,5.407146184504191,0.01721452622564723
WHQ040,-0.8394298278779619,5.90610365254869,0.007666549418146151
WHD050,-4.530875657702553e-05,4.0739075546312336,9.22278213748573e-05
WHQ060,1.2154591628165605,2.321500118712767,0.002998305395997769
WHQ070,-0.7944758584675199,5.335644598214076,0.00395178018046749
WHD140,-1.040428179511834e-05,4.06202516770753,4.264880534288196e-06
